Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,profit_per_quantity,outlier_status
2012-05-16,16,May,2012,31,Young Adults (25-34),M,France,Loiret,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2027,4342,6369,1013.5,not outlier
2011-05-16,16,May,2011,31,Young Adults (25-34),M,France,Loiret,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,3040,6513,9553,1013.3333333333334,not outlier
2013-12-29,29,December,2013,37,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2015-12-29,29,December,2015,37,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2012-06-23,23,June,2012,27,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1812,4342,6154,906.0,not outlier
2011-06-23,23,June,2011,27,Young Adults (25-34),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",4,2171,3578,3624,8684,12308,906.0,not outlier
2012-05-23,23,May,2012,46,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1812,4342,6154,906.0,not outlier
2011-05-23,23,May,2011,46,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2012-08-08,8,August,2012,46,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1812,4342,6154,906.0,not outlier
2011-08-08,8,August,2011,46,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2013-04-06,6,April,2013,46,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2015-04-06,6,April,2015,46,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2013-04-30,30,April,2013,46,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2015-04-30,30,April,2015,46,Adults (35-64),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,2718,6513,9231,906.0,not outlier
2013-07-19,19,July,2013,47,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2015-07-19,19,July,2015,47,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2015-07-19,19,July,2015,47,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1812,4342,6154,906.0,not outlier
2014-03-09,9,March,2014,47,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2016-03-09,9,March,2016,47,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2013-11-17,17,November,2013,39,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2015-11-17,17,November,2015,39,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1812,4342,6154,906.0,not outlier
2013-12-14,14,December,2013,39,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2015-12-14,14,December,2015,39,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2014-02-01,1,February,2014,39,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2016-02-01,1,February,2016,39,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2013-08-28,28,August,2013,24,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2015-08-28,28,August,2015,24,Youth (<25),F,United States,Oregon,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,906,2171,3077,906.0,not outlier
2012-09-29,29,September,2012,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2011-09-29,29,September,2011,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2012-10-20,20,October,2012,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2011-10-20,20,October,2011,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2012-11-11,11,November,2012,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2011-11-11,11,November,2011,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2013-02-04,4,February,2013,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2015-02-04,4,February,2015,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2013-05-07,7,May,2013,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2015-05-07,7,May,2015,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2013-05-25,25,May,2013,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2015-05-25,25,May,2015,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,3792,6513,10305,1264.0,not outlier
2013-08-29,29,August,2013,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2015-08-29,29,August,2015,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2013-09-20,20,September,2013,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2015-09-20,20,September,2015,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2014-05-23,23,May,2014,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2016-05-23,23,May,2016,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2014-06-01,1,June,2014,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2016-06-01,1,June,2016,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2014-06-18,18,June,2014,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2016-06-18,18,June,2016,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2014-06-25,25,June,2014,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2016-06-25,25,June,2016,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2016-06-25,25,June,2016,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,3792,6513,10305,1264.0,not outlier
2012-02-04,4,February,2012,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2011-02-04,4,February,2011,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2012-03-26,26,March,2012,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2011-03-26,26,March,2011,28,Young Adults (25-34),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2013-02-14,14,February,2013,36,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2015-02-14,14,February,2015,36,Adults (35-64),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,1264.0,not outlier
2012-02-14,14,February,2012,41,Adults (35-64),M,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2011-02-14,14,February,2011,41,Adults (35-64),M,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 44",4,2171,3578,5056,8684,13740,1264.0,not outlier
2012-10-30,30,October,2012,33,Young Adults (25-34),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2528,4342,6870,1264.0,not outlier
2011-10-30,30,October,2011,33,Young Adults (25-34),F,France,Essonne,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,3792,6513,10305,1264.0,not outlier
2013-01-28,28,January,2013,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2015-01-28,28,January,2015,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2013-04-19,19,April,2013,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2015-04-19,19,April,2015,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2013-12-12,12,December,2013,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2015-12-12,12,December,2015,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2014-04-01,1,April,2014,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2016-04-01,1,April,2016,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2014-04-17,17,April,2014,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2016-04-17,17,April,2016,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2014-05-27,27,May,2014,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2016-05-27,27,May,2016,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,3470,6513,9983,1156.6666666666667,not outlier
2014-06-09,9,June,2014,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2016-06-09,9,June,2016,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2014-06-18,18,June,2014,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2016-06-18,18,June,2016,29,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2013-09-17,17,September,2013,32,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2015-09-17,17,September,2015,32,Young Adults (25-34),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1157,2171,3328,1157.0,not outlier
2012-06-12,12,June,2012,19,Youth (<25),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2313,4342,6655,1156.5,not outlier
2011-06-12,12,June,2011,19,Youth (<25),M,Germany,Hamburg,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,2313,4342,6655,1156.5,not outlier
2012-07-24,24,July,2012,48,Adults (35-64),M,France,Moselle,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1955,4342,6297,977.5,not outlier
2011-07-24,24,July,2011,48,Adults (35-64),M,France,Moselle,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,978,2171,3149,978.0,not outlier
2012-08-12,12,August,2012,34,Young Adults (25-34),F,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1097,4342,5439,548.5,not outlier
2011-08-12,12,August,2011,34,Young Adults (25-34),F,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,548,2171,2719,548.0,not outlier
2012-03-23,23,March,2012,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1097,4342,5439,548.5,not outlier
2011-03-23,23,March,2011,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,548,2171,2719,548.0,not outlier
2012-12-05,5,December,2012,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1097,4342,5439,548.5,not outlier
2011-12-05,5,December,2011,27,Young Adults (25-34),M,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,1645,6513,8158,548.33333333333337,not outlier
2012-07-29,29,July,2012,24,Youth (<25),F,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1097,4342,5439,548.5,not outlier
2011-07-29,29,July,2011,24,Youth (<25),F,France,Yveline,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,548,2171,2719,548.0,not outlier
2013-11-29,29,November,2013,51,Adults (35-64),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,763,2171,2934,763.0,not outlier
2015-11-29,29,November,2015,51,Adults (35-64),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,763,2171,2934,763.0,not outlier
2014-06-18,18,June,2014,51,Adults (35-64),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,763,2171,2934,763.0,not outlier
2016-06-18,18,June,2016,51,Adults (35-64),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,763,2171,2934,763.0,not outlier
2012-05-18,18,May,2012,33,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1526,4342,5868,763.0,not outlier
2011-05-18,18,May,2011,33,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,763,2171,2934,763.0,not outlier
2012-05-27,27,May,2012,33,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1526,4342,5868,763.0,not outlier
2011-05-27,27,May,2011,33,Young Adults (25-34),F,Germany,Saarland,Bikes,Road Bikes,"Road-150 Red, 44",4,2171,3578,3052,8684,11736,763.0,not outlier
2013-09-19,19,September,2013,17,Youth (<25),M,Australia,Tasmania,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,727,2171,2898,727.0,not outlier
2015-09-19,19,September,2015,17,Youth (<25),M,Australia,Tasmania,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,727,2171,2898,727.0,not outlier
2013-04-27,27,April,2013,21,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-04-27,27,April,2015,21,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2013-09-27,27,September,2013,21,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-09-27,27,September,2015,21,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2013-10-08,8,October,2013,21,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-10-08,8,October,2015,21,Youth (<25),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,1967,6513,8480,655.66666666666663,not outlier
2012-04-22,22,April,2012,26,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",2,2171,3578,1311,4342,5653,655.5,not outlier
2011-04-22,22,April,2011,26,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2013-03-14,14,March,2013,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-03-14,14,March,2015,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2013-05-08,8,May,2013,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-05-08,8,May,2015,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2013-09-15,15,September,2013,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-09-15,15,September,2015,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2014-01-06,6,January,2014,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2016-01-06,6,January,2016,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2014-01-20,20,January,2014,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2016-01-20,20,January,2016,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2014-03-25,25,March,2014,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2016-03-25,25,March,2016,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2014-04-02,2,April,2014,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2016-04-02,2,April,2016,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,1967,6513,8480,655.66666666666663,not outlier
2014-06-24,24,June,2014,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2016-06-24,24,June,2016,34,Young Adults (25-34),F,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2013-05-12,12,May,2013,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-05-12,12,May,2015,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2013-06-25,25,June,2013,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-06-25,25,June,2015,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2013-10-14,14,October,2013,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
2015-10-14,14,October,2015,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",3,2171,3578,1967,6513,8480,655.66666666666663,not outlier
2014-01-01,1,January,2014,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,656,2171,2827,656.0,not outlier
